id	name	nameReading	variations	website
pia	ぴあ	ピア	'ピア'	http://piabook.com/
libre	リブレ	リブレ	'リブレ','リブレ出版'	https://libre-inc.co.jp/
dogenzakashobo	道玄坂書房	ドウゲンザカショボウ	'道玄坂書房'	https://dogenzakashobo.jp/
komakusa	駒草出版	コマクサシュッパン	'駒草出版'	https://www.komakusa-pub.jp/
kosaido	廣済堂出版	コウサイドウシュッパン	'廣済堂出版'	https://www.kosaido-pub.co.jp/
bioMagazine	ビオ・マガジン	ビオマガジン	'ビオマガジン'	https://www.biomagazine.co.jp/
nsp	ノース・スターズ・ピクチャーズ	ノーススターズピクチャーズ	'ノーススターズピクチャーズ'	http://www.nsp.tv/
gzBrain	Gzブレイン	ジーズブレイン	'gzブレイン'	http://gzbrain.jp/
fieldY	フィールドワイ	フィールドワイ	'フィールドワイ'	http://www.field-y.co.jp/
soudosha	創土社	ソウドシャ	'創土社'	http://www.soudosha.jp/
rittorsha	立東舎	リットウシャ	'立東舎'	http://rittorsha.jp/
hifumi	一二三書房	ヒフミショボウ	'一二三書房'	https://www.hifumi.co.jp/
sankeiBooks	産経新聞出版	サンケイシンブンシュッパン	'産経新聞出版'	http://www.sankei-books.co.jp
shufunotomo	主婦の友社	シュフノトモシャ	'主婦ノ友社'	https://shufunotomo.co.jp/
chuko	中央公論新社	チュウオウコウロンシンシャ	'中央公論新社'	https://www.chuko.co.jp/
